year,amd_desktop,intel_desktop,amd_mobile,intel_mobile,amd_server,intel_server
2000,14.0,3.0,0.0,0.0,0.0,0.0
2001,41.0,35.0,10.0,0.0,0.0,0.0
2002,12.0,14.0,1.0,8.0,0.0,4.0
2003,14.0,12.0,3.0,16.0,24.0,4.0
2004,39.0,30.0,16.0,10.0,35.0,6.0
2005,20.0,29.0,34.0,8.0,41.0,22.0
2006,53.0,22.0,5.0,26.0,8.0,21.0
2007,32.0,23.0,0.0,14.0,0.0,0.0
2008,50.0,30.0,16.0,15.0,1.0,0.0
2009,52.0,22.0,0.0,17.0,0.0,24.0
2010,44.0,30.0,0.0,47.0,1.0,22.0
2011,31.0,44.0,23.0,70.0,5.0,27.0
2012,28.0,45.0,10.0,72.0,19.0,66.0
2013,17.0,47.0,20.0,95.0,2.0,48.0
2014,5.0,28.0,2.0,24.0,0.0,2.0
2015,2.0,18.0,0.0,17.0,0.0,8.0
2016,1.0,4.0,4.0,1.0,4.0,8.0
2017,35.0,44.0,7.0,5.0,12.0,10.0
2018,29.0,43.0,2.0,20.0,3.0,12.0
2019,15.0,19.0,15.0,26.0,20.0,4.0
2020,27.0,24.0,12.0,2.0,3.0,0.0
