released,amd_desktop,amd_mobile,amd_server,intel_desktop,intel_mobile,intel_server
2000,1.2,0.0,0.0,1.5,0.0,0.0
2001,2.4,2.2,0.0,3.06,0.0,0.0
2002,2.25,1.8,0.0,2.793,2.2,2.79
2003,2.2,2.0,2.2,3.2,3.2,3.2
2004,2.6,2.0,2.4,3.8,3.3339999999999996,3.6
2005,2.8,2.6,3.0,3.8,3.467,3.667
2006,3.2,2.4,3.0,3.73,2.333,3.73
2007,3.2,0.0,0.0,3.2,2.8,0.0
2008,3.0,2.5,2.0,3.466,3.0669999999999997,0.0
2009,3.4,0.0,0.0,3.6,2.2,3.6
2010,3.7,0.0,1.9,3.866,3.467,3.733
2011,4.2,2.7,3.3,3.9,3.7,4.4
2012,4.5,3.2,3.8,4.0,3.9,4.1
2013,5.0,3.5,2.0,4.0,4.0,4.0
2014,4.3,1.5,0.0,4.4,4.0,1.333
2015,4.2,0.0,0.0,4.2,3.4,4.0
2016,4.3,3.7,2.4,3.8,3.2,1.7
2017,4.2,3.8,3.2,4.7,4.2,4.5
2018,4.4,3.8,3.8,5.1,4.7,4.5
2019,4.7,4.0,3.4,5.0,5.0,3.8
2020,4.7,4.4,3.9,5.3,5.3,0.0
