released,amd_desktop,amd_mobile,amd_server,intel_desktop,intel_mobile,intel_server
2000,1.0,0.0,0.0,1.0,0.0,0.0
2001,2.0,1.0,0.0,1.0,0.0,0.0
2002,1.0,1.0,0.0,1.0,1.0,1.0
2003,1.0,1.0,1.0,1.0,1.0,1.0
2004,1.0,1.0,1.0,1.0,1.0,1.0
2005,2.0,1.0,2.0,2.0,2.0,2.0
2006,2.0,2.0,2.0,4.0,2.0,2.0
2007,4.0,0.0,0.0,4.0,2.0,0.0
2008,4.0,2.0,4.0,4.0,4.0,0.0
2009,4.0,0.0,0.0,4.0,2.0,4.0
2010,6.0,0.0,12.0,6.0,2.0,32.0
2011,8.0,4.0,16.0,6.0,4.0,10.0
2012,8.0,4.0,16.0,6.0,4.0,61.0
2013,8.0,4.0,4.0,6.0,4.0,61.0
2014,8.0,4.0,0.0,8.0,4.0,61.0
2015,6.0,0.0,0.0,4.0,2.0,18.0
2016,4.0,2.0,8.0,10.0,4.0,72.0
2017,16.0,4.0,32.0,18.0,4.0,72.0
2018,32.0,4.0,16.0,18.0,6.0,28.0
2019,48.0,4.0,64.0,18.0,8.0,56.0
2020,64.0,8.0,24.0,10.0,8.0,0.0
